UR	kam.n.man.n	Stress	Max	Ident(voice)	Onset	Agree(voice)	*Complex Onset	*Complex Coda	Align-L	Align-R	*[+consonantal, -voice]	Dep	Nocoda	*CC
	kəam.n.man.n	na	0	0	0	0	0	0	0	0	1	1	4!	3
	kam.n.men.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kaŋ˗.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	k̠͡x̠ʰam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.n.man.ɴ	na	0	0	0	0	0	0	0	1!	1	0	4	3
	k̠͡x̠am.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	qam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.nɘː.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	ɡ̠̠͡ɣ̠am.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	kam.nɨ.mɑ.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.n.maʔn.n	na	0	0	0	1!	0	1	0	0	2	1	4	4
	kɛm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ŋ˗a.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɤ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kab.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.əman.n	na	0	0	1!	0	0	0	0	0	1	1	4	2
	kaɳ.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.n.mɤn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	ka.n.man.n	na	1!	0	0	0	0	0	0	0	1	0	3	2
	kam.nɨ.mə.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.n.ŋ˗an.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.mɛn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	cam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.n.mɑːn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.məan.n	na	0	0	0	0	0	0	0	0	1	1	4!	3
	x̠am.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kam.dɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.nɨŋ+	na	0	0	0	0	0	0	0	1!	1	2	2	1
	ɡ̠am.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	ka.nɨ.ma.nɨn	na	1!	0	0	0	0	0	0	0	1	2	1	0
	kaɳ.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.mɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨː.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kaəm.n.man.n	na	0	0	0	0	0	0	0	0	1	1	4!	3
	ɡʰam.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	ɢam.nɨ.ma.nɨn	na	0	1!	0	0	0	0	1	0	0	2	2	1
	kaŋ.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.mɘːn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.ŋ.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.man	na	1!	0	0	0	0	0	0	0	1	0	3	2
	kam.n.maɳ.n	na	1!	0	0	0	0	0	0	0	1	1	4	3
	kam.n.ma.n	na	1!	0	0	0	0	0	0	0	1	0	3	2
	k̠͡x̠am.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kamə.n.man.n	na	0	0	0	0	0	0	0	0	1	1	3!	2
	kam.n.b͡βan.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kəːm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.me.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kan.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.man.ɳ	na	0	0	0	0	0	0	0	1!	1	0	4	3
	ɡʰam.n.man.n	na	0	1!	0	0	0	0	1	0	0	0	4	3
	kɑm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ɱa.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.njn	na	0	0	0	0	1!	1	0	0	1	2	2	3
	kaʔm.nɨ.ma.nɨn	na	0	0	0	1!	0	1	0	0	2	3	2	2
	kam.n.maɴ.n	na	1!	0	0	0	0	0	0	0	1	1	4	3
	kam.n.maŋ+.n	na	1!	0	0	0	0	0	0	0	1	1	4	3
	kam.nɨ.ma.nɨən	na	0	0	0	0	0	0	0	0	1	3!	2	1
	kəm.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ma.ɳɨn	na	1!	0	0	0	0	0	0	0	1	3	2	1
	kan.nɨ.ma.nɨn	na	1!	0	0	0	0	0	0	0	1	3	2	1
	kamʔ.n.man.n	na	0	0	0	2!	0	1	0	0	2	1	4	4
	kam.n.məːn.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.ma.nʔɨn	na	0	0	0	1!	1	0	0	0	2	3	2	2
	k͡xam.n.man.n	na	0	0	0	0	0	0	1!	0	1	0	4	3
	kaːm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.nɨ.məa.nɨn	na	0	0	0	0	0	0	0	0	1	3!	2	1
	kam.nɨ.maə.nɨn	na	0	0	0	0	0	0	0	0	1	3!	2	1
	ɡam.n.man.n	na	0	1!	0	0	0	0	1	0	0	0	4	3
	kam.n.mn.n	na	1!	0	0	0	1	1	0	0	1	0	4	4
	kam.n.ɴan.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	k̠͡x̠ʰam.nɨ.ma.nɨn	na	0	0	0	0	0	0	1!	0	1	2	2	1
	kam.nɨ.ŋ+a.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kɘːm.n.man.n	na	0	0	0	0	0	0	0	0	1	0	4!	3
	kam.n.ʔman.n	na	0	0	0	2!	1	0	0	0	2	1	4	4
	kam.nɨ.m.nɨn	na	1!	0	0	0	0	0	0	0	1	2	3	2
	kam.nɨ.ʔma.nɨn	na	0	0	0	1!	1	0	0	0	2	3	2	2
	km.n.man.n	na	1!	0	0	1	1	1	0	0	1	0	4	4
	kab͡β.nɨ.ma.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.nɨ.ɴa.nɨn	na	0	0	0	0	0	0	0	0	1	2	2	1
	kam.n.maən.n	na	0	0	0	0	0	0	0	0	1	1	4!	3
	kam.n.man.ŋ	na	0	0	0	0	0	0	0	1!	1	0	4	3
